Dataset,Algorithm,K,Silhouette,Davies_Bouldin,ARI,NMI
Scaled dataset,GMM,4,0.3192,2.3329,0.0345,0.0779
PCA dataset,GMM,4,0.0223,3.9672,0.0518,0.0913
