Dataset,Algorithm,min_cluster_size,min_samples,Clusters,Noise_points,Noise_ratio,Silhouette_non_noise,Davies_Bouldin_non_noise,ARI,NMI,Selection_score
Scaled dataset,HDBSCAN,200,20,5,9659,0.3458,0.2721,1.3551,0.0268,0.0673,0.2569
PCA dataset,HDBSCAN,200,20,3,9142,0.3272,0.3958,0.7061,0.0221,0.0517,0.2803
