cluster,affirmative,conditional,doubt_question,emphasis,negative,relative,topics,wh_question,yn_question
0,0.0728,0.0882,0.1557,0.0,0.1604,0.0624,0.0186,0.2129,0.229
1,0.0,0.1937,0.3726,0.1106,0.0307,0.0385,0.0708,0.0084,0.1746
2,0.0929,0.1237,0.0585,0.0867,0.1287,0.1544,0.1389,0.1127,0.1036
3,0.0857,0.1888,0.008,0.1905,0.0236,0.2663,0.229,0.0034,0.0048
