cluster,affirmative,conditional,doubt_question,emphasis,negative,relative,topics,wh_question,yn_question
0,0.0,0.2032,0.4535,0.1138,0.0143,0.0415,0.0281,0.0041,0.1415
1,0.0808,0.1444,0.0674,0.1066,0.0855,0.1773,0.1367,0.0978,0.1035
2,0.1182,0.1567,0.0949,0.0985,0.1387,0.0847,0.1485,0.0319,0.128
3,0.0096,0.0592,0.0278,0.061,0.087,0.278,0.1197,0.27,0.0877
